Strategy,Condition,Model,MSE,MSE_CI_Lower,MSE_CI_Upper,Pearson_r,Pearson_r_CI_Lower,Pearson_r_CI_Upper
essentiality,Control,Ridge,0.0036996401794756233,0.0031152220515469837,0.004582525622210903,0.7560989135805559,0.7205054133652322,0.78813324058639
essentiality,IFNγ,Ridge,0.005597776430566997,0.004091287763207234,0.007207548129584091,0.6407673988493906,0.6069249997998496,0.6853203790197048
essentiality,Co-culture,Ridge,0.007375730261083763,0.005713659392686388,0.008589568843114641,0.3471823957891021,0.3028317704480633,0.38903649739444346
essentiality,Control,Lasso,0.00342876550416773,0.002258252306007223,0.0053117227945089175,0.7872630246269888,0.744495272696765,0.8348058175516841
essentiality,IFNγ,Lasso,0.005357760182450529,0.003905989541587337,0.0073338328689681286,0.6675495828636911,0.6277399143896087,0.7219758039141528
essentiality,Co-culture,Lasso,0.007166894444120769,0.005942176711719185,0.009000953032801174,0.3596232864841079,0.32136643494176037,0.3909247183462192
essentiality,Control,RandomForest,0.0022698484707758325,0.0020874543787620255,0.002632894718356869,0.8318656254267084,0.7976933030106396,0.8465318516913976
essentiality,IFNγ,RandomForest,0.00462102410954043,0.0038837547797035163,0.0074292640507181065,0.6805227252682771,0.6216730997719181,0.7181187013562674
essentiality,Co-culture,RandomForest,0.006433467317476916,0.005291667283941515,0.008584550133527252,0.3678302970535269,0.33422059940089577,0.393859200761078
essentiality,Control,KNN,0.002765141361524229,0.002406591773212492,0.0033714919810994047,0.7950423297463775,0.738426887920703,0.8257755427338441
essentiality,IFNγ,KNN,0.004264540211489922,0.004070202382408021,0.004520159994852329,0.6814405081684672,0.6542335250256864,0.7007553571377689
essentiality,Co-culture,KNN,0.0064509656881759315,0.005952252874373938,0.007049376413666806,0.3295216713632968,0.29692205288851103,0.3511180255381671
essentiality,Control,Baseline_TrainMean,0.0025002316640134795,0.0023936158828864475,0.002611532330612495,0.8231861235680753,0.816097765536256,0.8298574151706475
essentiality,IFNγ,Baseline_TrainMean,0.003909266977969864,0.00386182824986425,0.003973235109401161,0.7042827519125103,0.697365561445762,0.7106432783583432
essentiality,Co-culture,Baseline_TrainMean,0.006106962992754945,0.005890539015151802,0.006339524644887288,0.3253458938647554,0.3185021209231427,0.330781197283
essentiality,Control,Baseline_Negative_Zeros,0.007014671844150145,0.007014671844150147,0.007014671844150147,0.0,0.0,0.0
essentiality,IFNγ,Baseline_Negative_Zeros,0.0069619147145600305,0.006961914714560029,0.006961914714560029,0.0,0.0,0.0
essentiality,Co-culture,Baseline_Negative_Zeros,0.005909671919063135,0.005909671919063135,0.005909671919063135,0.0,0.0,0.0
essentiality,Control,Baseline_Random,0.007798042994337599,0.005451558751221867,0.011333507904498644,0.5345303406061295,0.37014365386959575,0.6524053220027493
essentiality,IFNγ,Baseline_Random,0.010177591356950884,0.0077325170915492755,0.014485310389346914,0.4533311026271051,0.33594923418167305,0.5441642288785273
essentiality,Co-culture,Baseline_Random,0.010735472598160377,0.008003784455389741,0.01358180642425714,0.24583962795347483,0.16517948509760788,0.3480730617196891
essentiality,Control,Baseline_Idealized_PCA,0.0013979193143019459,0.0012615462457733735,0.0015527403768713028,0.8902899664423293,0.8787202233573544,0.8999722032621297
essentiality,IFNγ,Baseline_Idealized_PCA,0.0010576311704706182,0.0009273545304611467,0.0016252366235293928,0.9056794233978142,0.8895334048354333,0.9138545696776292
essentiality,Co-culture,Baseline_Idealized_PCA,0.001207809804177018,0.0010465359465112684,0.0019222391312833332,0.799664217548999,0.7723872351975607,0.8155806105079229
random,Control,Ridge,0.006223189226790787,0.005314709606864326,0.008385802280563764,0.6693109053202356,0.6014087355551064,0.714434787696348
random,IFNγ,Ridge,0.00646918879466178,0.004874620380446993,0.009280317239254569,0.6078021793185695,0.5164203032285549,0.6896635646156636
random,Co-culture,Ridge,0.008228757296168138,0.006910567755775278,0.010812535508052397,0.45532784180545466,0.3619329970265763,0.5199611640696061
random,Control,Lasso,0.0057191284113206784,0.004774423414027672,0.0074516648612019485,0.6872362139491934,0.6595578186577897,0.7315016348261727
random,IFNγ,Lasso,0.005914116514199134,0.004579957036216236,0.008282287263066604,0.6324083570214625,0.5852623234447953,0.7116282431157546
random,Co-culture,Lasso,0.007691646359438787,0.0065510749372725266,0.010007354721453698,0.46642042257263433,0.40766577558076716,0.5227795637972301
random,Control,RandomForest,0.005422048511276466,0.004866734649544791,0.0066771267954131444,0.6978558963579425,0.6688193615597382,0.7262800240652861
random,IFNγ,RandomForest,0.005222520449246025,0.0040317778706073,0.007376631412937664,0.6635325338813256,0.5304090427205491,0.746790725617022
random,Co-culture,RandomForest,0.0077660667231249265,0.00651648655546794,0.009383959753955909,0.4755766693954043,0.431262911309156,0.5238161477353549
random,Control,KNN,0.0062268643392580335,0.00532689442272624,0.00828595677316226,0.6366453069958838,0.5072406276516587,0.7032813521683312
random,IFNγ,KNN,0.005788023975815763,0.004961766361220488,0.0072252483790401865,0.6030631264548675,0.4981171850440959,0.6849692999707218
random,Co-culture,KNN,0.00878272033329253,0.007629263735375583,0.010295937856569718,0.40973054218181915,0.2982603058632448,0.49521590192342035
random,Control,Baseline_TrainMean,0.005648252348108244,0.005416625666974312,0.005876325374128507,0.688521446561516,0.6774562463524947,0.7062515979949434
random,IFNγ,Baseline_TrainMean,0.0040908687702674255,0.003957039228793125,0.004253022901492071,0.7432770805059212,0.7336355816806523,0.750110018003539
random,Co-culture,Baseline_TrainMean,0.00685817878267087,0.006667046596952167,0.007057596206815668,0.4898708495788924,0.47543493122115915,0.5040558229275062
random,Control,Baseline_Negative_Zeros,0.009905893685928369,0.009905893685928369,0.009905893685928369,0.0,0.0,0.0
random,IFNγ,Baseline_Negative_Zeros,0.007631872687088693,0.00763187268708869,0.00763187268708869,0.0,0.0,0.0
random,Co-culture,Baseline_Negative_Zeros,0.008455202326146074,0.008455202326146072,0.008455202326146072,0.0,0.0,0.0
random,Control,Baseline_Random,0.0174916634752736,0.012426683848227107,0.02399343589411406,0.3222080649185762,0.17212703600190038,0.45742846427121203
random,IFNγ,Baseline_Random,0.015902461201308952,0.012363970081857476,0.021196387836326484,0.1764014079206776,0.012773350160161472,0.34420591709463555
random,Co-culture,Baseline_Random,0.017251189076142332,0.013134798661488709,0.021405575348432314,0.14877463414224656,0.006958060395338556,0.33252225552690345
random,Control,Baseline_Idealized_PCA,0.003224614304291394,0.0029246140172134506,0.003551255874702981,0.8385577136143599,0.8259217925785268,0.8514680958531646
random,IFNγ,Baseline_Idealized_PCA,0.002027007117359122,0.0016916067989673222,0.0027057963244738865,0.8500287934141381,0.8322029647581454,0.8625846753375144
random,Co-culture,Baseline_Idealized_PCA,0.0025648681048580342,0.0020317996512866747,0.003559802891805464,0.8167236661036811,0.7890258080646018,0.8374391584652212
highest_lfc,Control,Ridge,0.02248373693156733,0.014585054659166305,0.030190308683931976,0.3629152626042718,0.2682940116874946,0.4739036074220115
highest_lfc,IFNγ,Ridge,0.025778560232200355,0.016210459380775984,0.034184352723411214,0.259826884779101,0.17135084598103328,0.3705315256491406
highest_lfc,Co-culture,Ridge,0.01796784303267631,0.01158442042990846,0.024052278590499146,0.3001794415181231,0.208007999199954,0.4316452801397041
highest_lfc,Control,Lasso,0.02492124434775116,0.01492531015308469,0.033638402775292994,0.383820265321238,0.3176022851375014,0.45478168184257894
highest_lfc,IFNγ,Lasso,0.029226104874554817,0.016244885853180898,0.03933191780804335,0.2742790455208948,0.19504283558067487,0.3523601116879615
highest_lfc,Co-culture,Lasso,0.01999456600586743,0.011855597239414642,0.027799354667163687,0.30279945335348096,0.21179360149678872,0.3668580005037538
highest_lfc,Control,RandomForest,0.011988749168787284,0.00931100989999748,0.016489107841650218,0.48813671755238064,0.4213236749548586,0.592279261156637
highest_lfc,IFNγ,RandomForest,0.011933595918615475,0.010180093119656019,0.015120503894775315,0.3665408938166024,0.255415971632304,0.4377495852992778
highest_lfc,Co-culture,RandomForest,0.010331235396158444,0.008227325766021731,0.014334426258149367,0.393828446677314,0.2952956983689993,0.5051198899791517
highest_lfc,Control,KNN,0.014460725267361679,0.011375233864356387,0.01793619182609687,0.37401282126542384,0.2483457442172559,0.5130720304600523
highest_lfc,IFNγ,KNN,0.013934552926225164,0.012048566270362373,0.017070879118960817,0.24075014502016634,0.11979468437175377,0.35732244681562475
highest_lfc,Co-culture,KNN,0.01142591272791642,0.009089397108201093,0.013771145929122167,0.3440364531173878,0.23303433196718895,0.4876298984123716
highest_lfc,Control,Baseline_TrainMean,0.010029832654502321,0.009557647569112492,0.010559008576532282,0.5553533326014016,0.518124922279332,0.5823444115471723
highest_lfc,IFNγ,Baseline_TrainMean,0.010856036216228725,0.010698348508811777,0.010987876848902522,0.4150807289803291,0.3905628881719722,0.43304943977285537
highest_lfc,Co-culture,Baseline_TrainMean,0.009377440818407008,0.009130142258612311,0.0096697019998533,0.4655355355835172,0.44157122297968227,0.4869161062418289
highest_lfc,Control,Baseline_Negative_Zeros,0.013692668826180596,0.0136926688261806,0.0136926688261806,0.0,0.0,0.0
highest_lfc,IFNγ,Baseline_Negative_Zeros,0.012013164659161635,0.012013164659161635,0.012013164659161635,0.0,0.0,0.0
highest_lfc,Co-culture,Baseline_Negative_Zeros,0.011541532064335148,0.011541532064335143,0.011541532064335143,0.0,0.0,0.0
highest_lfc,Control,Baseline_Random,0.032144661646190766,0.022108454697815094,0.04097860292136393,0.20146516521890964,0.08839310722234117,0.3522786930484417
highest_lfc,IFNγ,Baseline_Random,0.03867064735485806,0.02863142151803855,0.04821850815883217,0.13938612353977867,0.01135458729615008,0.2486903546524957
highest_lfc,Co-culture,Baseline_Random,0.03368210318621725,0.02407247764089293,0.044456511381442375,0.08306521525955378,-0.05295783627416463,0.25144489864463715
highest_lfc,Control,Baseline_Idealized_PCA,0.005809251708535477,0.005166872860944339,0.0067598804695984645,0.791626019667316,0.7712685087199201,0.8050587816766334
highest_lfc,IFNγ,Baseline_Idealized_PCA,0.0038488268716532787,0.0036659972818947313,0.004290162329961937,0.8246549672251706,0.8151676657467399,0.8320165759361626
highest_lfc,Co-culture,Baseline_Idealized_PCA,0.003712959977449822,0.0034772499079206583,0.0040280538745882995,0.8044422344910706,0.7927387560684503,0.8142676233714915
leiden_clusters,Control,Ridge,0.011247795777486346,0.009190074036457215,0.014446795715439352,0.5662002014728931,0.5085983659717466,0.6095358005331175
leiden_clusters,IFNγ,Ridge,0.01150536371730847,0.009692527927843935,0.013999960729595763,0.36782593561441895,0.28327967201149884,0.4189468680499493
leiden_clusters,Co-culture,Ridge,0.012749377276132937,0.0100363936771274,0.01483235886432397,0.300703501143446,0.23342002406112597,0.39989001253157597
leiden_clusters,Control,Lasso,0.010499009933446333,0.008352698979698729,0.012248662328284119,0.5850778680251358,0.5088267579531116,0.6661189622230712
leiden_clusters,IFNγ,Lasso,0.01058055895476138,0.009062564546076958,0.012181880392519818,0.38577636080936856,0.31816273796640304,0.4509302849513198
leiden_clusters,Co-culture,Lasso,0.012537695285157382,0.010697391042111367,0.01492501609012518,0.2873829380088112,0.2264427552074911,0.35264213590620763
leiden_clusters,Control,RandomForest,0.007945535683876794,0.006830775933443527,0.009249947779740954,0.6448351393979063,0.5545337466390775,0.7009422796204307
leiden_clusters,IFNγ,RandomForest,0.008611687052493981,0.007022975607707307,0.010663705704889464,0.41575841324196,0.29909260876018856,0.5232475940742944
leiden_clusters,Co-culture,RandomForest,0.009389293752441035,0.0077352602814450225,0.011359751633405116,0.3448871412136034,0.2594618698181224,0.4288018713899231
leiden_clusters,Control,KNN,0.00837193937835681,0.007051793300835535,0.010054600081929727,0.5932792818359837,0.489939743401854,0.6562421248985311
leiden_clusters,IFNγ,KNN,0.009041615180698211,0.0080387469701204,0.010599113472781583,0.46101756807320143,0.3975458058652836,0.5155559334383911
leiden_clusters,Co-culture,KNN,0.010687991641445507,0.009320177269923713,0.011773489549813948,0.3330923427594328,0.29435106241302983,0.3840412831516492
leiden_clusters,Control,Baseline_TrainMean,0.006813503087421214,0.0064475320666126995,0.00732578882244967,0.7186269231201123,0.6904265774136593,0.7393072360880638
leiden_clusters,IFNγ,Baseline_TrainMean,0.009184749526997974,0.008954052677851838,0.009353538787172282,0.4349917138701137,0.4237706807262519,0.4465272276356018
leiden_clusters,Co-culture,Baseline_TrainMean,0.009867360109452506,0.00959981389513645,0.01007702372365257,0.3884402115712558,0.3740206494667553,0.4021462559440027
leiden_clusters,Control,Baseline_Negative_Zeros,0.011615771954990868,0.011615771954990872,0.011615771954990872,0.0,0.0,0.0
leiden_clusters,IFNγ,Baseline_Negative_Zeros,0.011148409938799711,0.011148409938799708,0.011148409938799708,0.0,0.0,0.0
leiden_clusters,Co-culture,Baseline_Negative_Zeros,0.01149676450719543,0.011496764507195426,0.011496764507195426,0.0,0.0,0.0
leiden_clusters,Control,Baseline_Random,0.01992944553153403,0.013951370498408885,0.027556396149006138,0.3290950693551698,0.15067621065205242,0.4969714839553892
leiden_clusters,IFNγ,Baseline_Random,0.024010149648313068,0.018014220006734475,0.03415130611755831,0.1742791575010584,0.014445448774742053,0.28890348693404966
leiden_clusters,Co-culture,Baseline_Random,0.025007889828902053,0.017673234230984738,0.03314374582683326,0.11324024185821586,-0.022233483469369212,0.24327342547450523
leiden_clusters,Control,Baseline_Idealized_PCA,0.0037590702896774073,0.0033588250215901253,0.0042891262700711285,0.8511941634018189,0.8397560432227853,0.8618665765777773
leiden_clusters,IFNγ,Baseline_Idealized_PCA,0.0023727338126406585,0.0020768296138148363,0.002895360470718017,0.8654849347291604,0.8479386360880625,0.8779258208826831
leiden_clusters,Co-culture,Baseline_Idealized_PCA,0.0029195743853697295,0.0025405650560662465,0.004667357186913023,0.826041869064143,0.784384592593823,0.8422696397823954
hallmark_pathways,Control,Ridge,0.004095705653879827,0.003655334668288601,0.004755886141171919,0.707894141728276,0.6532301800717097,0.7396676300519895
hallmark_pathways,IFNγ,Ridge,0.00261986435802739,0.0022381790421833045,0.003357323909062107,0.7652572877460414,0.725241637736755,0.7959991721392553
hallmark_pathways,Co-culture,Ridge,0.003486917038490717,0.0030480774971301983,0.004361868552161343,0.6010201865529627,0.4961849378446687,0.6481889129286553
hallmark_pathways,Control,Lasso,0.0034072791175753575,0.0031530505398940575,0.003784388232369055,0.7595116984496737,0.7399182248686158,0.7715390181791328
hallmark_pathways,IFNγ,Lasso,0.00212795479124582,0.0017923584665404603,0.0029100524497639884,0.804701395293647,0.7882262543056473,0.816185148716337
hallmark_pathways,Co-culture,Lasso,0.0029426068769953114,0.002624976783475117,0.0035329812751970177,0.667093161588357,0.6250559234244889,0.6965573032091298
hallmark_pathways,Control,RandomForest,0.0033611602517301027,0.0032290902272719742,0.003674415427097935,0.7609043173866238,0.7405258891661336,0.7696823944098745
hallmark_pathways,IFNγ,RandomForest,0.001850912380933454,0.0017312758532032123,0.0020517519552943693,0.8114977733981221,0.7925428766787223,0.823071311863068
hallmark_pathways,Co-culture,RandomForest,0.002748771895608083,0.0025003414552819767,0.003410842571129347,0.6651943974328632,0.5203998120239356,0.6997980122487125
hallmark_pathways,Control,KNN,0.005178186265567298,0.003996330047077726,0.007137850933074184,0.6157025995127394,0.4048355614147304,0.7282569647800469
hallmark_pathways,IFNγ,KNN,0.002709441115830699,0.0021669073089633753,0.0034751906549237866,0.740579220500851,0.6102145265079301,0.7914664642196716
hallmark_pathways,Co-culture,KNN,0.003312138124247772,0.0029090734606299325,0.00373793035441023,0.6587278341418621,0.6036798223417412,0.7026270520251984
hallmark_pathways,Control,Baseline_TrainMean,0.0036976399834833164,0.0035361541679615124,0.0038747471587341083,0.7458584771417018,0.7364496616051481,0.7554131252648444
hallmark_pathways,IFNγ,Baseline_TrainMean,0.0019422114602061509,0.001872915883132855,0.0020560948171768766,0.8052718339712626,0.7938428301987925,0.8140205926346776
hallmark_pathways,Co-culture,Baseline_TrainMean,0.0027373476415214508,0.0025966665522063736,0.0028440159362264584,0.6705529167549652,0.6550656729271899,0.6875551439600827
hallmark_pathways,Control,Baseline_Negative_Zeros,0.007645791830971969,0.007645791830971969,0.007645791830971969,0.0,0.0,0.0
hallmark_pathways,IFNγ,Baseline_Negative_Zeros,0.005234495489167415,0.005234495489167417,0.005234495489167417,0.0,0.0,0.0
hallmark_pathways,Co-culture,Baseline_Negative_Zeros,0.004997921371969863,0.0049979213719698636,0.0049979213719698636,0.0,0.0,0.0
hallmark_pathways,Control,Baseline_Random,0.010431675823418864,0.008099468055994931,0.013927514410679393,0.46926239154798705,0.3495977189097628,0.5572073794801553
hallmark_pathways,IFNγ,Baseline_Random,0.009448165499859666,0.0066596840354222215,0.012480616770394777,0.46225194958297544,0.2967655477678107,0.6050280284697857
hallmark_pathways,Co-culture,Baseline_Random,0.010728044643370066,0.00805080236343126,0.014173381533398761,0.253244999987485,0.05294155575272365,0.385510940024464
hallmark_pathways,Control,Baseline_Idealized_PCA,0.0018337227468162684,0.0017183283874028807,0.0019752993879376254,0.8628073762573254,0.8536859055499386,0.8697795763453475
hallmark_pathways,IFNγ,Baseline_Idealized_PCA,0.0011231652956822638,0.001045940268391644,0.0011790574572223377,0.8863896505761028,0.8806736969282087,0.8931399667005475
hallmark_pathways,Co-culture,Baseline_Idealized_PCA,0.0013139339418835295,0.0012333451879681003,0.0014219528945652276,0.8519510784326777,0.8400895567944627,0.8599796285862521
